form_no,point_no,subject,kpi_objective,uom,weight_percent,source_data,target,actual,calc_type,manual_score
DEMO-KPI-202607-019,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S QA",%,20,Safety Patrol / 5S Audit,100,97,HIGHER_BETTER,
DEMO-KPI-202607-019,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja QA,Score,15,Leader Assessment,,,MANUAL_SCORE,99
DEMO-KPI-202607-020,1,Output,Achievement output QA sesuai rencana bulanan,%,25,Daily Production / Department Report,100,102,HIGHER_BETTER,
DEMO-KPI-202607-020,2,Quality,Menjaga defect rate area QA di bawah target,%,20,QA Defect Monitoring,2,2.8,LOWER_BETTER,
DEMO-KPI-202607-020,3,Delivery,Ketepatan penyelesaian aktivitas QA,%,20,Schedule vs Actual Report,98,96,HIGHER_BETTER,
DEMO-KPI-202607-020,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S QA",%,20,Safety Patrol / 5S Audit,100,93,HIGHER_BETTER,
DEMO-KPI-202607-020,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja QA,Score,15,Leader Assessment,,,MANUAL_SCORE,77
DEMO-KPI-202607-021,1,Output,Achievement output ENG sesuai rencana bulanan,%,25,Daily Production / Department Report,100,85,HIGHER_BETTER,
DEMO-KPI-202607-021,2,Quality,Menjaga defect rate area ENG di bawah target,%,20,QA Defect Monitoring,2,3.3,LOWER_BETTER,
DEMO-KPI-202607-021,3,Delivery,Ketepatan penyelesaian aktivitas ENG,%,20,Schedule vs Actual Report,98,99,HIGHER_BETTER,
DEMO-KPI-202607-021,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S ENG",%,20,Safety Patrol / 5S Audit,100,98,HIGHER_BETTER,
DEMO-KPI-202607-021,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja ENG,Score,15,Leader Assessment,,,MANUAL_SCORE,81
DEMO-KPI-202607-022,1,Output,Achievement output ENG sesuai rencana bulanan,%,25,Daily Production / Department Report,100,92,HIGHER_BETTER,
DEMO-KPI-202607-022,2,Quality,Menjaga defect rate area ENG di bawah target,%,20,QA Defect Monitoring,2,3.8,LOWER_BETTER,
DEMO-KPI-202607-022,3,Delivery,Ketepatan penyelesaian aktivitas ENG,%,20,Schedule vs Actual Report,98,89,HIGHER_BETTER,
DEMO-KPI-202607-022,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S ENG",%,20,Safety Patrol / 5S Audit,100,94,HIGHER_BETTER,
DEMO-KPI-202607-022,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja ENG,Score,15,Leader Assessment,,,MANUAL_SCORE,85
DEMO-KPI-202607-023,1,Output,Achievement output ENG sesuai rencana bulanan,%,25,Daily Production / Department Report,100,99,HIGHER_BETTER,
DEMO-KPI-202607-023,2,Quality,Menjaga defect rate area ENG di bawah target,%,20,QA Defect Monitoring,2,4.3,LOWER_BETTER,
DEMO-KPI-202607-023,3,Delivery,Ketepatan penyelesaian aktivitas ENG,%,20,Schedule vs Actual Report,98,92,HIGHER_BETTER,
DEMO-KPI-202607-023,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S ENG",%,20,Safety Patrol / 5S Audit,100,99,HIGHER_BETTER,
DEMO-KPI-202607-023,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja ENG,Score,15,Leader Assessment,,,MANUAL_SCORE,89
DEMO-KPI-202607-024,1,Output,Achievement output ENG sesuai rencana bulanan,%,25,Daily Production / Department Report,100,82,HIGHER_BETTER,
DEMO-KPI-202607-024,2,Quality,Menjaga defect rate area ENG di bawah target,%,20,QA Defect Monitoring,2,0.9,LOWER_BETTER,
DEMO-KPI-202607-024,3,Delivery,Ketepatan penyelesaian aktivitas ENG,%,20,Schedule vs Actual Report,98,95,HIGHER_BETTER,
DEMO-KPI-202607-024,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S ENG",%,20,Safety Patrol / 5S Audit,100,95,HIGHER_BETTER,
DEMO-KPI-202607-024,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja ENG,Score,15,Leader Assessment,,,MANUAL_SCORE,93
DEMO-KPI-202607-025,1,Output,Achievement output ENG sesuai rencana bulanan,%,25,Daily Production / Department Report,100,89,HIGHER_BETTER,
DEMO-KPI-202607-025,2,Quality,Menjaga defect rate area ENG di bawah target,%,20,QA Defect Monitoring,2,1.4,LOWER_BETTER,
DEMO-KPI-202607-025,3,Delivery,Ketepatan penyelesaian aktivitas ENG,%,20,Schedule vs Actual Report,98,98,HIGHER_BETTER,
DEMO-KPI-202607-025,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S ENG",%,20,Safety Patrol / 5S Audit,100,100,HIGHER_BETTER,
DEMO-KPI-202607-025,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja ENG,Score,15,Leader Assessment,,,MANUAL_SCORE,97
DEMO-KPI-202607-026,1,Output,Achievement output MTN sesuai rencana bulanan,%,25,Daily Production / Department Report,100,96,HIGHER_BETTER,
DEMO-KPI-202607-026,2,Quality,Menjaga defect rate area MTN di bawah target,%,20,QA Defect Monitoring,2,1.9,LOWER_BETTER,
DEMO-KPI-202607-026,3,Delivery,Ketepatan penyelesaian aktivitas MTN,%,20,Schedule vs Actual Report,98,88,HIGHER_BETTER,
DEMO-KPI-202607-026,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MTN",%,20,Safety Patrol / 5S Audit,100,96,HIGHER_BETTER,
DEMO-KPI-202607-026,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MTN,Score,15,Leader Assessment,,,MANUAL_SCORE,75
DEMO-KPI-202607-027,1,Output,Achievement output MTN sesuai rencana bulanan,%,25,Daily Production / Department Report,100,103,HIGHER_BETTER,
DEMO-KPI-202607-027,2,Quality,Menjaga defect rate area MTN di bawah target,%,20,QA Defect Monitoring,2,2.4,LOWER_BETTER,
DEMO-KPI-202607-027,3,Delivery,Ketepatan penyelesaian aktivitas MTN,%,20,Schedule vs Actual Report,98,91,HIGHER_BETTER,
DEMO-KPI-202607-027,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MTN",%,20,Safety Patrol / 5S Audit,100,92,HIGHER_BETTER,
DEMO-KPI-202607-027,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MTN,Score,15,Leader Assessment,,,MANUAL_SCORE,79
DEMO-KPI-202607-028,1,Output,Achievement output MTN sesuai rencana bulanan,%,25,Daily Production / Department Report,100,86,HIGHER_BETTER,
DEMO-KPI-202607-028,2,Quality,Menjaga defect rate area MTN di bawah target,%,20,QA Defect Monitoring,2,2.9,LOWER_BETTER,
DEMO-KPI-202607-028,3,Delivery,Ketepatan penyelesaian aktivitas MTN,%,20,Schedule vs Actual Report,98,94,HIGHER_BETTER,
DEMO-KPI-202607-028,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MTN",%,20,Safety Patrol / 5S Audit,100,97,HIGHER_BETTER,
DEMO-KPI-202607-028,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MTN,Score,15,Leader Assessment,,,MANUAL_SCORE,83
DEMO-KPI-202607-029,1,Output,Achievement output MTN sesuai rencana bulanan,%,25,Daily Production / Department Report,100,93,HIGHER_BETTER,
DEMO-KPI-202607-029,2,Quality,Menjaga defect rate area MTN di bawah target,%,20,QA Defect Monitoring,2,3.4,LOWER_BETTER,
DEMO-KPI-202607-029,3,Delivery,Ketepatan penyelesaian aktivitas MTN,%,20,Schedule vs Actual Report,98,97,HIGHER_BETTER,
DEMO-KPI-202607-029,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MTN",%,20,Safety Patrol / 5S Audit,100,93,HIGHER_BETTER,
DEMO-KPI-202607-029,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MTN,Score,15,Leader Assessment,,,MANUAL_SCORE,87
DEMO-KPI-202607-030,1,Output,Achievement output MTN sesuai rencana bulanan,%,25,Daily Production / Department Report,100,100,HIGHER_BETTER,
DEMO-KPI-202607-030,2,Quality,Menjaga defect rate area MTN di bawah target,%,20,QA Defect Monitoring,2,3.9,LOWER_BETTER,
DEMO-KPI-202607-030,3,Delivery,Ketepatan penyelesaian aktivitas MTN,%,20,Schedule vs Actual Report,98,100,HIGHER_BETTER,
DEMO-KPI-202607-030,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MTN",%,20,Safety Patrol / 5S Audit,100,98,HIGHER_BETTER,
DEMO-KPI-202607-030,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MTN,Score,15,Leader Assessment,,,MANUAL_SCORE,91
DEMO-KPI-202607-031,1,Output,Achievement output WHS sesuai rencana bulanan,%,25,Daily Production / Department Report,100,83,HIGHER_BETTER,
DEMO-KPI-202607-031,2,Quality,Menjaga defect rate area WHS di bawah target,%,20,QA Defect Monitoring,2,4.4,LOWER_BETTER,
DEMO-KPI-202607-031,3,Delivery,Ketepatan penyelesaian aktivitas WHS,%,20,Schedule vs Actual Report,98,90,HIGHER_BETTER,
DEMO-KPI-202607-031,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S WHS",%,20,Safety Patrol / 5S Audit,100,94,HIGHER_BETTER,
DEMO-KPI-202607-031,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja WHS,Score,15,Leader Assessment,,,MANUAL_SCORE,95
DEMO-KPI-202607-032,1,Output,Achievement output WHS sesuai rencana bulanan,%,25,Daily Production / Department Report,100,90,HIGHER_BETTER,
DEMO-KPI-202607-032,2,Quality,Menjaga defect rate area WHS di bawah target,%,20,QA Defect Monitoring,2,1.0,LOWER_BETTER,
DEMO-KPI-202607-032,3,Delivery,Ketepatan penyelesaian aktivitas WHS,%,20,Schedule vs Actual Report,98,93,HIGHER_BETTER,
DEMO-KPI-202607-032,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S WHS",%,20,Safety Patrol / 5S Audit,100,99,HIGHER_BETTER,
DEMO-KPI-202607-032,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja WHS,Score,15,Leader Assessment,,,MANUAL_SCORE,99
DEMO-KPI-202607-033,1,Output,Achievement output WHS sesuai rencana bulanan,%,25,Daily Production / Department Report,100,97,HIGHER_BETTER,
DEMO-KPI-202607-033,2,Quality,Menjaga defect rate area WHS di bawah target,%,20,QA Defect Monitoring,2,1.5,LOWER_BETTER,
DEMO-KPI-202607-033,3,Delivery,Ketepatan penyelesaian aktivitas WHS,%,20,Schedule vs Actual Report,98,96,HIGHER_BETTER,
DEMO-KPI-202607-033,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S WHS",%,20,Safety Patrol / 5S Audit,100,95,HIGHER_BETTER,
DEMO-KPI-202607-033,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja WHS,Score,15,Leader Assessment,,,MANUAL_SCORE,77
DEMO-KPI-202607-034,1,Output,Achievement output WHS sesuai rencana bulanan,%,25,Daily Production / Department Report,100,104,HIGHER_BETTER,
DEMO-KPI-202607-034,2,Quality,Menjaga defect rate area WHS di bawah target,%,20,QA Defect Monitoring,2,2.0,LOWER_BETTER,
DEMO-KPI-202607-034,3,Delivery,Ketepatan penyelesaian aktivitas WHS,%,20,Schedule vs Actual Report,98,99,HIGHER_BETTER,
DEMO-KPI-202607-034,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S WHS",%,20,Safety Patrol / 5S Audit,100,100,HIGHER_BETTER,
DEMO-KPI-202607-034,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja WHS,Score,15,Leader Assessment,,,MANUAL_SCORE,81
DEMO-KPI-202607-035,1,Output,Achievement output WHS sesuai rencana bulanan,%,25,Daily Production / Department Report,100,87,HIGHER_BETTER,
DEMO-KPI-202607-035,2,Quality,Menjaga defect rate area WHS di bawah target,%,20,QA Defect Monitoring,2,2.5,LOWER_BETTER,
DEMO-KPI-202607-035,3,Delivery,Ketepatan penyelesaian aktivitas WHS,%,20,Schedule vs Actual Report,98,89,HIGHER_BETTER,
DEMO-KPI-202607-035,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S WHS",%,20,Safety Patrol / 5S Audit,100,96,HIGHER_BETTER,
DEMO-KPI-202607-035,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja WHS,Score,15,Leader Assessment,,,MANUAL_SCORE,85
DEMO-KPI-202607-036,1,Output,Achievement output MCL sesuai rencana bulanan,%,25,Daily Production / Department Report,100,94,HIGHER_BETTER,
DEMO-KPI-202607-036,2,Quality,Menjaga defect rate area MCL di bawah target,%,20,QA Defect Monitoring,2,3.0,LOWER_BETTER,
DEMO-KPI-202607-036,3,Delivery,Ketepatan penyelesaian aktivitas MCL,%,20,Schedule vs Actual Report,98,92,HIGHER_BETTER,
DEMO-KPI-202607-036,4,Safety & Compliance,"Kepatuhan safety, SOP, dan 5S MCL",%,20,Safety Patrol / 5S Audit,100,92,HIGHER_BETTER,
DEMO-KPI-202607-036,5,Kaizen & Discipline,Kontribusi perbaikan dan kedisiplinan kerja MCL,Score,15,Leader Assessment,,,MANUAL_SCORE,89
DEMO-KPI-202607-037,1,Output,Achievement output MCL sesuai rencana bulanan,%,25,Daily Production / Department Report,100,101,HIGHER_BETTER,
DEMO-KPI-202607-037,2,Quality,Menjaga defect rate area MCL di bawah target,%,20,QA Defect Monitoring,2,3.5,LOWER_BETTER,
